Nº UGRHI,UGRHI,MUNICÍPIO,PONTO,"SISTEMA
AQUÍFERO",AMOSTRA,DATA,Sinal,Al total - µg/L,Sinal,Sb Total - µg/L,Sinal,As total - µg/L,Sinal,Ba Total - µg/L,Sinal,Be Total - µg/L,Sinal,Bo total - µg/L,Sinal,Cd Total - µg/L,Sinal,Ca Total - µg/L,Sinal,Pb Total - µg/L,Sinal,Co Total - µg/L,Sinal,Cu Total - µg/L,Sinal,Cr total - µg/L,Sinal,Dureza Total - mg/L,Sinal,Sn Total - µg/L,Sinal,Sr total - µg/L,Sinal,Fe total - µg/L,Sinal,P Total - µg/L,Sinal,Li Total - µg/L,Sinal,Mg total - µg/L,Sinal,Mn total - µg/L,Sinal,Hg total - µg/L,Sinal,Mo total - µg/L,Sinal,Ni total - µg/L,Sinal,K Total - µg/L,Sinal,Ag total - µg/L,Sinal,Se total - µg/L,Sinal,Na total - µg/L,Sinal,Ti total - µg/L,Sinal,U total - µg/L,Sinal,V total - µg/L,Sinal,Zn total - µg/L,Sinal,Cloreto - mg/L,Sinal,Fluoreto - mg/L,Sinal,Sulfato - mg/L,Sinal,Nitrogênio amoniacal - mg/L,Sinal,NKT - mg/L,Sinal,N-Nitrato - mg/L,Sinal,N-Nitrito  - mg/L,Sinal,SDT - mg/L,Sinal,Alcalinidade Bicarbonato - mg/L,Sinal,Alcalinidade Carbonato - mg/L,Sinal,Alcalinidade hidróxido - mg/L,Sinal,Alcalinidade total - mg/L,Sinal,Carbono Orgânico Dissolvido,Sinal,CE - Campo,Sinal,pH - campo,Sinal,Temp água -  °C,Sinal,Temp. ar - °C,"Coli totais 
P/A em 100 mL","E coli
P/A em 100 mL","Bac. Heter
UFC/mL"
6,ALTO TIETE,SAO BERNARDO DO CAMPO,PC00300P,Pré-Cambriano/Cristalino,2307796,18/4/2023,<,2,<,0.02,=,2.61,=,5.57,<,0.5,=,4.42,<,0.01,=,6470,<,0.05,<,0.05,<,0.2,<,0.2,=,30.1,<,0.2,=,82.2,=,697,=,190,=,15.1,=,3380,=,71.6,=,0.14,=,0.09,<,0.2,=,3010,<,0.1,<,0.2,=,15200,<,0.3,<,0.005,<,0.2,=,1.59,=,3.87,<,1,=,5.37,<,0.1,<,0.5,<,0.1,<,0.01,=,112,=,47,<,20,<,20,=,47,<,1,=,133,=,6.8,=,21.9,=,22.7,Ausente,Ausente,1
6,ALTO TIETE,SAO BERNARDO DO CAMPO,PC00300P,Pré-Cambriano/Cristalino,2321196,30/10/2023,<,2,<,0.02,=,2.58,=,4.68,<,0.5,=,4.1,<,0.01,=,6125,<,0.05,<,0.05,<,0.2,<,0.2,=,29.6,<,0.2,=,77.8,=,739,=,202,=,21.5,=,3461,=,92.7,=,0.22,=,0.12,<,0.2,=,2717,<,0.1,<,0.2,=,14680,<,0.3,<,0.005,<,0.2,=,1.44,=,3.77,<,1,=,5.26,<,0.1,<,0.5,<,0.1,<,0.01,=,122,=,73.8,<,20,<,20,=,73.8,<,1,=,133,=,6.9,=,23.1,=,29.7,Ausente,Ausente,3
6,ALTO TIETE,SAO BERNARDO DO CAMPO,PC00301P,Pré-Cambriano/Cristalino,2307797,18/4/2023,<,2,<,0.02,=,1.33,=,5.58,<,0.5,=,4.84,<,0.01,=,14200,=,0.06,<,0.05,<,0.2,<,0.2,=,51.7,<,0.2,=,93.9,=,142,=,40.3,=,6.53,=,3930,=,96.6,=,0.29,=,0.09,=,0.32,=,2690,<,0.1,<,0.2,=,10700,<,0.3,<,0.005,<,0.2,=,1.1,=,3.75,<,1,=,3.58,<,0.1,<,0.5,=,0.19,=,0.01,<,100,=,59.1,<,20,<,20,=,59.1,<,1,=,155,=,6.7,=,21.5,=,23.2,Ausente,Ausente,11
6,ALTO TIETE,SAO BERNARDO DO CAMPO,PC00301P,Pré-Cambriano/Cristalino,2321197,30/10/2023,<,2,<,0.02,=,1.47,=,4.52,<,0.5,=,3.6,<,0.01,=,13530,=,0.1,<,0.05,=,0.28,<,0.2,=,50.1,<,0.2,=,88.4,=,161,=,48.3,=,8.65,=,3967,=,120,=,0.8,=,0.13,=,1.2,=,2248,<,0.1,<,0.2,=,10230,<,0.3,<,0.005,<,0.2,=,1.96,=,3.56,<,1,=,3.48,<,0.1,<,0.5,=,0.2,<,0.01,<,100,=,65.4,<,20,<,20,=,65.4,<,1,=,145,=,6.9,=,21.8,=,27.1,Ausente,Ausente,170
6,ALTO TIETE,SAO PAULO,PC00214P,Pré-Cambriano/Cristalino,2306651,4/4/2023,=,3.12,<,0.02,=,0.36,=,1.95,<,0.5,=,4.28,=,0.01,=,15400,<,0.05,<,0.05,=,0.61,<,0.2,=,44.3,<,0.2,=,48.2,=,23.5,=,56,=,18.3,=,1400,=,9.52,<,0.1,=,3.27,<,0.2,=,3350,<,0.1,<,0.2,=,10500,<,0.3,=,2.09,<,0.2,=,3.4,=,4.83,<,1,=,15.8,<,0.1,<,1,=,0.12,<,0.01,=,110,=,44.9,<,20,<,20,=,44.9,<,1,=,149,=,6.8,=,24.7,=,29.6,Ausente,Ausente,24
6,ALTO TIETE,SAO PAULO,PC00214P,Pré-Cambriano/Cristalino,2320011,13/11/2023,=,4.28,<,0.02,=,0.49,=,1.95,<,0.5,=,4.88,=,0.02,=,14550,=,0.17,<,0.05,=,5.43,=,0.21,=,42.6,<,0.2,=,46,=,10.5,=,59.9,=,24.9,=,1521,=,8.79,<,0.1,=,5.94,=,1.01,=,3371,<,0.1,<,0.2,=,10340,=,0.4,=,3.56,=,0.36,=,4.34,=,4.46,<,1,=,14.2,<,0.1,<,0.5,=,0.24,<,0.01,=,110,=,51,<,20,<,20,=,51,<,1,=,140,=,7,=,24.5,=,38.5,Ausente,Ausente,75
6,ALTO TIETE,SAO PAULO,PC00323N,Pré-Cambriano/Cristalino,2307095,4/4/2023,=,3.46,<,0.02,<,0.2,=,68.3,<,0.5,<,2,<,0.01,=,4770,<,0.05,<,0.05,<,0.2,=,0.21,=,16.8,<,0.2,=,88.3,=,12.3,=,74.2,=,1.45,=,1180,=,0.36,<,0.1,<,0.03,<,0.2,=,1900,<,0.1,<,0.2,=,3470,<,0.3,<,0.005,=,0.65,=,1.37,=,1.09,<,1,<,1,<,0.1,<,1,<,0.1,<,0.01,<,100,=,26.3,<,20,<,20,=,26.3,<,1,=,51,=,6.3,=,19.4,=,23.7,Ausente,Ausente,7
6,ALTO TIETE,SAO PAULO,PC00323N,Pré-Cambriano/Cristalino,2320004,9/10/2023,=,18.7,<,0.02,<,0.2,=,61.7,<,0.5,<,2,<,0.01,=,4266,<,0.05,<,0.05,<,0.2,=,0.23,=,15,<,0.2,=,72.9,=,8.69,=,57.6,=,1.74,=,1056,=,1.04,<,0.1,=,0.03,<,0.2,=,1501,<,0.1,<,0.2,=,2774,=,0.38,<,0.005,=,0.65,=,1.8,=,1.26,<,1,=,1.05,<,0.1,NA,NA,=,0.18,<,0.01,<,100,=,21.1,<,20,<,20,=,21.1,<,1,=,51,=,6.6,=,19.3,=,21,Ausente,Ausente,290
6,ALTO TIETE,SAO PAULO,PC00349P,Pré-Cambriano/Cristalino,2306649,4/4/2023,=,3.73,<,0.02,=,2.05,=,7.7,<,0.5,=,4.18,=,0.01,=,7980,=,0.06,=,0.26,=,1.3,<,0.2,=,29.7,<,0.2,=,71.3,=,946,=,108,=,15.5,=,2380,=,171,<,0.1,=,0.03,=,1.75,=,2470,<,0.1,<,0.2,=,7530,<,0.3,=,0.006,<,0.2,=,12.7,=,3.69,<,1,=,10.1,<,0.1,<,1,=,0.13,<,0.01,<,100,=,31.7,<,20,<,20,=,31.7,<,1,=,117,=,6.3,=,21.5,=,28.8,Ausente,Ausente,1
6,ALTO TIETE,SAO PAULO,PC00349P,Pré-Cambriano/Cristalino,2320009,10/10/2023,<,2,<,0.02,=,2.39,=,6.96,<,0.5,=,2.56,<,0.01,=,7442,=,0.07,=,0.28,=,0.83,<,0.2,=,28.6,<,0.2,=,68.2,=,1367,=,135,=,19.4,=,2426,=,164,<,0.1,=,0.04,=,1.8,=,2415,<,0.1,<,0.2,=,7463,<,0.3,=,0.01,<,0.2,=,6.96,=,3.93,<,1,=,10.2,<,0.1,<,0.5,=,0.13,=,0.01,<,100,=,32.7,<,20,<,20,=,32.7,<,1,=,108,=,6.3,=,21,=,25.4,Ausente,Ausente,1
6,ALTO TIETE,SAO PAULO,PC00371P,Pré-Cambriano/Cristalino,2307101,4/4/2023,=,2.83,<,0.02,<,0.2,=,74.9,<,0.5,=,8.7,=,0.03,=,32500,=,0.06,=,0.38,<,0.2,=,0.48,=,122,<,0.2,=,51.7,=,2550,=,22.6,=,3.55,=,10000,=,393,<,0.1,=,0.16,=,0.62,=,4280,<,0.1,<,0.2,=,4000,<,0.3,=,0.05,=,1.97,=,2070,=,8.64,<,1,=,3.46,<,0.1,<,1,=,3.64,=,0.03,=,194,=,102,<,20,<,20,=,102,<,1,=,268,=,6.6,=,21.9,=,28.1,Ausente,Ausente,25
6,ALTO TIETE,SAO PAULO,PC00371P,Pré-Cambriano/Cristalino,2320007,9/10/2023,<,2,<,0.02,<,0.2,=,56.8,<,0.5,=,2.93,<,0.01,=,29240,<,0.05,=,0.06,<,0.2,=,0.61,=,114,<,0.2,=,34.3,=,59.1,=,23.1,=,5.92,=,9859,=,97.7,<,0.1,=,0.27,<,0.2,=,2828,<,0.1,<,0.2,=,3554,<,0.3,=,0.06,=,2.22,=,79.3,=,7.29,<,1,=,2.37,<,0.1,NA,NA,=,3.54,=,0.01,=,174,=,98.1,<,20,<,20,=,98.1,<,1,=,245,=,6.9,=,22,=,24,Ausente,Ausente,4
6,ALTO TIETE,SAO PAULO,PC00427P,Pré-Cambriano/Cristalino,2308558,27/4/2023,<,2,<,0.02,<,0.2,=,1.99,<,0.5,=,6.06,<,0.01,=,13000,<,0.05,<,0.05,<,0.2,<,0.2,=,36.6,<,0.2,=,76.4,=,8.95,=,67.8,=,27.7,=,983,=,5.47,<,0.1,=,1.03,<,0.2,=,3220,<,0.1,<,0.2,=,17400,<,0.3,=,0.21,=,0.34,=,37,=,2.29,<,1,=,8.31,<,0.1,<,1,<,0.1,<,0.01,=,150,=,67.9,<,20,<,20,=,67.9,<,1,=,147,=,7.4,=,23.1,=,20.7,Ausente,Ausente,1
6,ALTO TIETE,SAO PAULO,PC00427P,Pré-Cambriano/Cristalino,2321129,31/10/2023,<,2,<,0.02,<,0.2,=,1.26,<,0.5,=,4.53,<,0.01,=,13640,=,0.06,<,0.05,=,0.33,<,0.2,=,37.8,<,0.2,=,76.2,=,73.6,=,93,=,30.4,=,894,=,8.68,<,0.1,=,1.14,<,0.2,=,2577,<,0.1,<,0.2,=,17230,<,0.3,=,0.12,<,0.2,=,31.5,=,2.11,<,1,=,8.34,<,0.1,<,1,<,0.1,<,0.01,=,174,=,72.8,<,20,<,20,=,72.8,<,1,=,158,=,7.7,=,22.7,=,27,Ausente,Ausente,2
6,ALTO TIETE,SAO PAULO,PC00428P,Pré-Cambriano/Cristalino,2308559,27/4/2023,<,2,<,0.02,=,0.49,=,149,<,0.5,=,19.5,<,0.01,=,36200,=,0.09,=,0.2,<,0.2,<,0.2,=,102,<,0.2,=,252,=,12.6,=,21.1,=,20.8,=,2920,=,385,=,0.1,=,2.95,=,0.33,=,3480,<,0.1,<,0.2,=,49500,<,0.3,=,6.74,<,0.2,=,5.69,=,21.2,=,1.22,=,12.3,<,0.1,<,1,=,3.08,=,0.03,=,296,=,164,<,20,<,20,=,164,<,1,=,428,=,7.3,=,22.1,=,21.6,Ausente,Ausente,10
6,ALTO TIETE,SAO PAULO,PC00428P,Pré-Cambriano/Cristalino,2321131,31/10/2023,=,3.34,=,0.02,=,0.57,=,146,<,0.5,=,13.7,=,0.01,=,37700,=,0.13,=,0.25,=,1.38,<,0.2,=,107,<,0.2,=,248,=,10.9,=,27,=,25.8,=,3119,=,390,=,0.14,=,3.07,=,3.16,=,3248,<,0.1,<,0.2,=,49080,<,0.3,=,5.75,<,0.2,=,4.77,=,21.3,=,1.22,=,12.2,<,0.1,<,1,=,3.16,=,0.02,=,286,=,163,<,20,<,20,=,163,<,1,=,427,=,7.4,=,22.3,=,27.7,Ausente,Ausente,31
6,ALTO TIETE,SAO PAULO,SP00370P,São Paulo,2306650,4/4/2023,=,8.58,<,0.02,<,0.2,=,198,<,0.5,=,9,=,0.01,=,3730,=,0.24,<,0.05,=,1.42,=,0.23,=,17.8,<,0.2,=,37.7,=,25.5,=,40,=,4.18,=,2060,=,0.53,<,0.1,=,0.3,<,0.2,=,3240,<,0.1,=,0.25,=,11200,<,0.3,=,0.3,=,1.2,=,111,=,1.7,<,1,<,1,<,0.1,<,1,=,0.41,<,0.01,<,100,=,40.5,<,20,<,20,=,40.5,<,1,=,98,=,6.7,=,24.1,=,30.9,Ausente,Ausente,26
6,ALTO TIETE,SAO PAULO,SP00370P,São Paulo,2320008,10/10/2023,=,20.3,<,0.02,=,1.16,=,108,<,0.5,=,7.3,<,0.01,=,3945,=,0.85,<,0.05,=,2.03,=,10.7,=,17.3,<,0.2,=,31.8,=,292,=,213,=,4.65,=,1808,=,4.59,=,0.13,=,0.65,=,0.25,=,3818,<,0.1,<,0.2,=,237800,=,0.35,=,3.06,=,5.7,=,15.4,=,151,<,1,=,1.13,<,0.1,<,0.5,=,0.42,<,0.01,=,774,=,199,=,69.6,<,20,=,269,<,1,=,142,=,8.8,=,22.1,=,25.1,Ausente,Ausente,1
6,ALTO TIETE,SAO PAULO,SP00416P,São Paulo,2308294,24/4/2023,=,3.1,<,0.02,<,0.2,=,48.8,<,0.5,=,2.95,=,0.01,=,751,=,0.22,=,0.51,=,1.44,<,0.2,=,2.95,<,0.2,=,17.3,=,7.66,<,10,=,4.5,=,261,=,6.48,<,0.1,<,0.03,=,0.5,=,3970,<,0.1,<,0.2,=,1280,<,0.3,=,0.03,<,0.2,=,54.4,=,1.16,<,1,=,1.39,<,0.1,<,1,=,0.2,<,0.01,<,100,<,20,<,20,<,20,<,20,<,1,=,66,=,5.7,=,22.8,=,26.1,Ausente,Ausente,4
6,ALTO TIETE,SAO PAULO,SP00416P,São Paulo,2321150,31/10/2023,=,5.65,<,0.02,<,0.2,=,47,<,0.5,=,3.4,<,0.01,=,1349,=,0.36,=,0.7,=,1.94,<,0.2,=,5.94,<,0.2,=,29.6,=,7.36,<,10,=,6.66,=,624,=,23.4,<,0.1,<,0.03,=,0.76,=,5153,<,0.1,<,0.2,=,3364,<,0.3,=,0.04,<,0.2,=,11.5,=,1.71,<,1,=,7.24,<,0.1,<,1,=,0.54,<,0.01,<,100,<,20,<,20,<,20,<,20,<,1,=,48,=,5.8,=,22.8,=,25.8,Ausente,Ausente,2
6,ALTO TIETE,SAO PAULO,SP00417P,São Paulo,2308293,24/4/2023,=,5.86,<,0.02,<,0.2,=,106,<,0.5,=,2.93,=,0.03,=,1040,=,0.34,=,0.78,=,87.4,<,0.2,=,4.02,<,0.2,=,27.8,=,13,<,10,=,4.77,=,344,=,1.61,<,0.1,<,0.03,=,1.19,=,5140,<,0.1,<,0.2,=,1490,<,0.3,=,0.03,<,0.2,=,33.6,=,1.91,<,1,<,1,<,0.1,<,1,=,0.28,<,0.01,<,100,<,20,<,20,<,20,<,20,<,1,=,70,=,5.6,=,23.4,=,25.8,Ausente,Ausente,1
6,ALTO TIETE,SAO PAULO,SP00417P,São Paulo,2321148,9/11/2023,<,2,<,0.02,<,0.2,=,96.7,<,0.5,<,2,=,0.01,=,510,=,0.42,=,0.73,=,1.73,<,0.2,=,2.67,<,0.2,=,23.7,=,6.63,<,10,=,4.64,=,341,=,1.08,<,0.1,<,0.03,=,0.95,=,4992,<,0.1,<,0.2,=,1358,<,0.3,=,0.04,<,0.2,=,4.3,=,1.65,<,1,<,1,<,0.1,<,0.5,=,0.29,<,0.01,<,100,<,20,<,20,<,20,<,20,<,1,=,30,=,5.6,=,24.2,=,27.2,Ausente,Ausente,1
6,ALTO TIETE,SAO PAULO,SP00418P,São Paulo,2308292,24/4/2023,=,2.65,<,0.02,=,15.3,=,308,<,0.5,=,218,<,0.01,=,9540,=,0.08,<,0.05,<,0.2,=,0.25,=,37.8,<,0.2,=,107,=,104,=,65.4,=,2.69,=,3410,=,66.8,<,0.1,=,6.66,=,0.31,=,4990,<,0.1,<,0.2,=,40800,<,0.3,=,0.05,<,0.2,=,3.42,=,9.85,<,1,=,2.98,<,0.1,<,1,=,0.1,<,0.01,=,184,=,112,<,20,<,20,=,112,<,1,=,291,=,7.3,=,23.2,=,25.9,Ausente,Ausente,87
6,ALTO TIETE,SAO PAULO,SP00418P,São Paulo,2321149,31/10/2023,=,3,<,0.02,=,16.8,=,288,<,0.5,=,211,=,0.02,=,9357,=,0.1,<,0.05,=,2.24,<,0.2,=,38,<,0.2,=,103,=,31.8,=,69.2,=,2.73,=,3535,=,45.6,<,0.1,=,7.43,=,0.87,=,4788,<,0.1,<,0.2,=,40540,<,0.3,=,0.04,<,0.2,=,2.54,=,12,<,1,=,2.98,<,0.1,<,1,<,0.1,<,0.01,=,200,=,116,<,20,<,20,=,116,<,1,=,272,=,7.2,=,24,=,25,Ausente,Ausente,4
6,ALTO TIETE,SAO PAULO,SP00425P,São Paulo,2308557,27/4/2023,=,17.4,=,0.02,<,0.2,=,1480,=,0.7,=,3.3,=,0.35,=,2700,=,2.14,=,18.4,=,19.3,<,0.2,=,18.3,=,0.78,=,258,=,9.05,<,10,=,5.91,=,2810,=,30.6,<,0.1,<,0.03,=,26,=,16600,=,0.2,<,0.2,=,7740,<,0.3,=,0.06,<,0.2,=,129,=,15.1,<,1,=,1.61,<,0.1,<,1,=,8.15,<,0.01,=,100,<,20,<,20,<,20,<,20,<,1,=,168,=,5.4,=,22.8,=,24.2,Ausente,Ausente,5
6,ALTO TIETE,SAO PAULO,SP00425P,São Paulo,2321130,31/10/2023,=,15.7,<,0.02,<,0.2,=,2929,=,1.09,=,2.76,=,0.38,=,3052,=,1.1,=,35.6,=,8.08,<,0.2,=,25.5,<,0.2,=,423,=,9.74,<,10,=,5.84,=,4343,=,78.3,<,0.1,<,0.03,=,30.1,=,22180,<,0.1,=,0.34,=,13400,<,0.3,=,0.05,<,0.2,=,98.6,=,20.6,<,1,<,1,<,0.1,<,1,=,14.6,<,0.01,=,168,<,20,<,20,<,20,=,20,<,1,=,168,=,5.3,=,23,=,25.9,Ausente,Ausente,3
8,SAPUCAI/GRANDE,BATATAIS,GU00012P,Guarani,2304630,6/3/2023,=,10.9,<,0.02,<,0.2,=,110,<,0.5,<,2,<,0.01,=,2700,=,0.26,<,0.05,=,3.65,=,0.68,=,10.5,<,0.2,=,35,=,30.7,=,30.3,=,0.46,=,920,=,0.36,<,0.1,<,0.03,=,0.31,=,5900,<,0.1,<,0.2,=,1200,=,3.24,=,0.006,=,1.3,=,7.41,=,2,=,0.1,=,2,<,1,<,1,<,0.02,=,0.08,<,100,=,0,=,0,=,20.3,,NA,=,3.1,=,44,=,6.09,=,27.3,=,28,Ausente,Ausente,1
8,SAPUCAI/GRANDE,BATATAIS,GU00012P,Guarani,2318014,4/9/2023,<,2,<,0.02,<,0.2,=,125,<,0.5,<,2,<,0.01,=,2218,=,0.28,<,0.05,=,3.79,=,0.62,=,10,=,0.32,=,34.7,<,2,=,30.1,=,0.44,=,1086,<,0.1,<,0.1,<,0.03,<,0.2,=,5916,<,0.1,<,0.2,=,1532,<,0.3,=,0.005,=,1.12,=,4.5,<,1,<,0.1,<,0.5,<,1,<,1,=,0.06,<,0.05,<,100,=,20.1,=,0,=,0,,NA,=,1.1,=,45,=,6.15,=,28.1,=,33,Ausente,Ausente,1
8,SAPUCAI/GRANDE,BURITIZAL,GU00019P,Guarani,2306439,28/3/2023,=,7.3,<,0.02,=,0.37,=,1.5,<,0.5,<,2,<,0.01,=,19000,=,0.07,<,0.05,=,0.46,=,1.34,=,59.3,<,0.2,=,160,=,23.1,=,31.7,=,1.09,=,2900,=,0.22,<,0.1,<,0.03,<,0.2,=,3400,<,0.1,<,0.2,=,7700,=,2.53,=,0.02,=,5.39,=,6.48,<,1,<,0.1,<,0.5,<,1,<,1,=,0.05,<,0.05,=,136,=,77.7,<,20,<,20,=,77.7,<,1,=,149,=,7.49,=,29.2,=,34.6,Ausente,Ausente,1
8,SAPUCAI/GRANDE,BURITIZAL,GU00019P,Guarani,2317410,13/9/2023,<,2,<,0.02,=,0.44,=,1.4,<,0.5,<,2,<,0.01,=,18220,=,0.07,<,0.05,=,0.67,=,1.45,=,58.1,<,0.2,=,158,=,2.07,=,31.5,=,1.17,=,3056,<,0.1,<,0.1,<,0.03,<,0.2,=,3401,<,0.1,<,0.2,=,7825,<,0.3,=,0.03,=,5.52,=,3.62,<,1,<,0.1,<,0.5,<,0.5,=,1.48,=,0.06,<,0.05,<,100,=,85.8,=,0,=,0,,NA,=,1.2,=,151,=,7.48,=,30,=,40.3,Ausente,Ausente,1
8,SAPUCAI/GRANDE,GUAIRA,GU00245P,Guarani,2304732,7/3/2023,=,18.3,<,0.02,=,1.35,<,1,<,0.5,=,21.9,<,0.01,=,1600,=,0.1,<,0.05,=,0.81,=,8.29,=,4,<,0.2,=,11,<,2,<,10,=,7.07,<,100,<,0.1,<,0.1,=,0.49,<,0.2,=,300,<,0.1,=,2.66,=,78000,<,0.3,=,2.73,=,27.4,<,0.5,=,3,=,0.4,=,10,<,0.5,<,0.5,=,0.6,<,0.05,=,228,=,116,=,40.6,=,0,,NA,=,1.8,=,329,=,9.34,=,31.7,=,23.4,Ausente,Ausente,1
8,SAPUCAI/GRANDE,GUAIRA,GU00245P,Guarani,2317892,5/9/2023,=,17,<,0.02,=,1.11,<,1,<,0.5,=,21.3,<,0.01,=,1308,<,0.05,<,0.05,=,0.65,=,7.26,=,3.27,<,0.2,=,10.2,<,2,<,10,=,6.5,<,100,<,0.1,<,0.1,=,0.48,<,0.2,=,258,<,0.1,=,2.27,=,72760,<,0.3,=,2.65,=,25.4,<,0.5,<,1,=,0.2,=,8,<,0.5,<,0.5,=,0.6,<,0.05,=,196,=,129,=,29.6,=,0,,NA,=,3.7,=,329,=,9.36,=,35.8,=,32.1,Ausente,Ausente,10
8,SAPUCAI/GRANDE,GUAIRA,SG00348P,Serra Geral,2304733,7/3/2023,=,37.1,<,0.02,=,0.42,<,1,<,0.5,=,5.27,<,0.01,=,1100,<,0.05,<,0.05,=,0.29,<,0.2,=,2.75,<,0.2,=,2.2,=,12.1,=,18.6,=,0.39,<,100,=,0.29,<,0.1,=,0.04,<,0.2,=,210,<,0.1,<,0.2,=,70000,=,0.35,=,0.77,=,34,<,0.5,=,5,=,0.1,=,3,<,0.5,<,0.5,=,2,=,0.1,=,202,=,115,=,26.9,=,0,,NA,=,2.4,=,294,=,9.27,=,24.5,=,22.8,Ausente,Ausente,1
8,SAPUCAI/GRANDE,GUAIRA,SG00348P,Serra Geral,2317905,5/9/2023,=,40.8,=,0.02,=,0.5,<,1,<,0.5,=,6.27,<,0.01,=,853,<,0.05,<,0.05,=,0.89,<,0.2,=,2.13,<,0.2,=,2.02,=,20.3,=,18.9,=,0.37,<,100,=,0.43,<,0.1,=,0.05,<,0.2,=,204,<,0.1,<,0.2,=,65140,=,0.41,=,0.69,=,44.6,=,0.95,=,3,<,0.1,=,0.6,<,0.5,<,0.5,=,1,NA,NA,=,164,=,118,=,19.6,=,0,,NA,=,3.7,=,288,=,9.38,=,27.2,,NA,Ausente,Ausente,1
8,SAPUCAI/GRANDE,GUARA,SG00350P,Serra Geral,2306438,28/3/2023,=,9.11,<,0.02,<,0.2,<,1,<,0.5,=,2.3,<,0.01,=,25000,<,0.05,<,0.05,=,0.23,=,0.34,=,65.9,<,0.2,=,41,=,31.2,=,36.3,=,1.44,=,850,=,0.28,<,0.1,<,0.03,<,0.2,=,530,<,0.1,<,0.2,=,17000,=,3.26,=,0.1,=,7.12,=,1,<,1,<,0.1,<,0.5,<,1,<,1,=,0.4,<,0.05,=,178,=,166,<,20,<,20,=,166,<,1,=,192,=,7.48,=,26.5,=,32.3,Presente,Ausente,1
8,SAPUCAI/GRANDE,GUARA,SG00350P,Serra Geral,2317417,13/9/2023,<,2,<,0.02,<,0.2,<,1,<,0.5,=,2.25,<,0.01,=,24040,=,0.06,<,0.05,=,0.53,=,0.32,=,63.5,<,0.2,=,40.1,=,2.46,=,38.2,=,1.5,=,843,<,0.1,<,0.1,=,0.03,<,0.2,=,574,<,0.1,<,0.2,=,17190,<,0.3,=,0.1,=,7.15,=,1.3,<,1,<,0.1,<,0.5,<,0.5,<,0.5,=,0.4,=,0.1,=,190,=,108,=,0,=,0,,NA,=,2.1,=,196,=,7.51,=,26.7,=,32.6,Ausente,Ausente,1
8,SAPUCAI/GRANDE,IGARAPAVA,GU00324P,Guarani,2306437,28/3/2023,=,7.82,<,0.02,=,0.34,=,57,<,0.5,<,2,<,0.01,=,18000,=,0.05,<,0.05,=,0.7,=,0.56,=,70,<,0.2,=,140,=,27.3,=,60,=,2.4,=,6100,=,0.25,<,0.1,<,0.03,<,0.2,=,3300,<,0.1,<,0.2,=,5200,=,3.03,=,0.01,=,4.89,<,0.5,=,4,<,0.1,<,0.5,<,1,<,1,=,3,<,0.05,=,136,=,67.8,<,20,<,20,=,67.8,<,1,=,167,=,6.93,=,28.1,=,36.1,Ausente,Ausente,82
8,SAPUCAI/GRANDE,IGARAPAVA,GU00324P,Guarani,2317407,13/9/2023,<,2,<,0.02,=,0.38,=,57.9,<,0.5,<,2,<,0.01,=,17620,=,0.05,<,0.05,=,0.85,=,0.53,=,70.3,<,0.2,=,138,<,2,=,60.1,=,2.45,=,6376,<,0.1,<,0.1,<,0.03,<,0.2,=,3470,<,0.1,<,0.2,=,5471,<,0.3,=,0.01,=,4.86,=,1.4,=,3,<,0.1,<,0.5,<,0.5,<,0.5,=,2,=,0.1,=,100,=,77,=,0,=,0,,NA,=,1.3,=,169,=,7.03,=,28.6,=,37.5,Ausente,Ausente,6
8,SAPUCAI/GRANDE,MIGUELOPOLIS,SG00288P,Serra Geral,2306436,28/3/2023,=,22.4,<,0.02,=,0.72,=,5.3,<,0.5,=,11.6,<,0.01,=,4200,=,2.96,<,0.05,=,3.53,=,1.95,=,16.3,<,0.2,=,30,=,26.8,=,19.3,=,1.88,=,1400,=,0.35,<,0.1,=,0.2,<,0.2,=,510,<,0.1,=,0.7,=,48000,=,2.62,=,0.06,=,15.3,=,9.54,=,2,=,0.3,=,2,<,1,<,1,=,2,<,0.05,=,184,=,72,=,35,<,20,=,107,<,1,=,234,=,9.18,=,30.6,=,35.9,Ausente,Ausente,810
8,SAPUCAI/GRANDE,MIGUELOPOLIS,SG00288P,Serra Geral,2317414,13/9/2023,=,20.6,<,0.02,=,0.91,<,1,<,0.5,=,14.4,<,0.01,=,2207,=,0.08,<,0.05,=,0.45,=,2.4,=,8.15,<,0.2,=,17.1,<,2,=,13.5,=,2.67,=,640,<,0.1,<,0.1,=,0.24,<,0.2,=,389,<,0.1,=,0.82,=,56440,<,0.3,=,0.04,=,18,=,0.59,<,1,=,0.3,=,2,<,0.5,<,0.5,=,0.6,<,0.05,=,170,=,68.7,=,0,=,0,,NA,=,1.1,=,241,=,9.58,=,30.5,=,35,Ausente,Ausente,1
