Nº UGRHI,UGRHI,MUNICÍPIO,PONTO,"SISTEMA
AQUÍFERO",AMOSTRA,DATA,Sinal,Al total - µg/L,Sinal,Sb Total - µg/L,Sinal,As total - µg/L,Sinal,Ba Total - µg/L,Sinal,Be Total - µg/L,Sinal,Bo total - µg/L,Sinal,Cd Total - µg/L,Sinal,Ca Total - µg/L,Sinal,Pb Total - µg/L,Sinal,Co Total - µg/L,Sinal,Cu Total - µg/L,Sinal,Cr total - µg/L,Sinal,Dureza Total - mg/L,Sinal,Sn Total - µg/L,Sinal,Sr total - µg/L,Sinal,Fe total - µg/L,Sinal,P Total - µg/L,Sinal,Li Total - µg/L,Sinal,Mg total - µg/L,Sinal,Mn total - µg/L,Sinal,Hg total - µg/L,Sinal,Mo total - µg/L,Sinal,Ni total - µg/L,Sinal,K Total - µg/L,Sinal,Ag total - µg/L,Sinal,Se total - µg/L,Sinal,Na total - µg/L,Sinal,Ti total - µg/L,Sinal,U total - µg/L,Sinal,V total - µg/L,Sinal,Zn total - µg/L,Sinal,Cloreto - mg/L,Sinal,Fluoreto - mg/L,Sinal,Sulfato - mg/L,Sinal,Nitrogênio amoniacal - mg/L,Sinal,NKT - mg/L,Sinal,N-Nitrato - mg/L,Sinal,N-Nitrito  - mg/L,Sinal,SDT - mg/L,Sinal,Alcalinidade Bicarbonato - mg/L,Sinal,Alcalinidade Carbonato - mg/L,Sinal,Alcalinidade hidróxido - mg/L,Sinal,Alcalinidade total - mg/L,Sinal,Carbono Orgânico Dissolvido,Sinal,CE - Campo,Sinal,pH - campo,Sinal,Temp água -  °C,Sinal,Temp. ar - °C,"Coli totais 
P/A em 100 mL","E coli
P/A em 100 mL","Bac. Heter
UFC/mL"
2,PARAIBA DO SUL,IGARATA,PC00344P,Pré-Cambriano/Cristalino,2308252,24/4/2023,=,5.59,<,0.02,=,0.21,=,45.7,<,0.5,=,20.3,<,0.01,=,9920,=,0.12,<,0.05,=,0.68,<,0.2,=,30.4,<,0.2,=,202,=,2.25,=,18.2,=,9.19,=,1370,=,36.5,<,0.1,=,2.69,=,0.29,=,2080,<,0.1,<,0.2,=,42100,<,0.3,=,0.05,<,0.2,=,4.66,=,6.3,=,2.05,=,4.9,<,0.5,<,0.5,=,0.46,<,0.01,=,98,=,101,=,0,=,0,,NA,<,1,=,240,=,7.4,=,22,=,24,Presente,Ausente,120
2,PARAIBA DO SUL,IGARATA,PC00344P,Pré-Cambriano/Cristalino,2320029,9/10/2023,=,6.52,<,0.02,=,0.21,=,43.8,<,0.5,=,18,=,0.01,=,9477,=,0.16,<,0.05,=,0.86,=,0.6,=,29.5,<,0.2,=,194,=,6.48,=,19.5,=,10.6,=,1419,=,49.1,<,0.1,=,3.12,=,0.37,=,2022,<,0.1,<,0.2,=,40910,<,0.3,=,0.05,<,0.2,=,7.9,=,6.13,=,2.11,=,5.29,<,0.5,<,0.5,=,0.47,=,0.01,=,66,=,98.5,=,0,=,0,,NA,<,1,=,270,=,7.8,=,22,=,28,Ausente,Ausente,290
2,PARAIBA DO SUL,JAMBEIRO,PC00060P,Pré-Cambriano/Cristalino,2306616,3/4/2023,<,2,<,0.02,<,0.2,=,67,<,0.5,=,2.49,<,0.01,=,20000,<,0.05,<,0.05,=,0.39,=,0.69,=,95.2,<,0.2,=,50,<,2,=,36.3,=,1.66,=,11000,=,0.14,<,0.1,=,0.18,<,0.2,=,4000,<,0.1,<,0.2,=,5000,<,0.3,=,2.98,=,1.13,=,2.61,=,4.63,<,1,=,3.73,<,1,<,1,=,1.27,<,0.01,=,74,=,95.2,=,0,=,0,,NA,<,1,=,223,=,7.4,=,22,=,24,Ausente,Ausente,1
2,PARAIBA DO SUL,JAMBEIRO,PC00060P,Pré-Cambriano/Cristalino,2319237,5/10/2023,=,2.07,<,0.02,<,0.2,=,78.2,<,0.5,<,2,<,0.01,=,19970,=,0.11,<,0.05,=,1.75,=,0.72,=,95.6,<,0.2,=,48.3,=,3,=,39.2,=,1.92,=,11090,=,0.29,<,0.1,=,0.22,=,0.23,=,4074,<,0.1,<,0.2,=,5084,<,0.3,=,3.03,=,1.27,=,2.76,=,4.25,<,1,=,3.38,<,0.5,<,0.5,=,1.24,<,0.01,=,94,=,97.3,=,0,=,0,,NA,<,1,=,257,=,6.8,=,23,=,25,Ausente,Ausente,1
2,PARAIBA DO SUL,LORENA,TA00198P,Taubaté,2306611,3/4/2023,=,2.52,<,0.02,=,0.37,=,49,<,0.5,=,51,<,0.01,=,7200,=,0.1,<,0.05,<,0.2,<,0.2,=,19.5,<,0.2,=,89,=,18.2,=,64.1,=,1.01,=,360,=,10.6,<,0.1,=,0.69,<,0.2,=,1100,<,0.1,<,0.2,=,56000,<,0.3,=,0.02,<,0.2,=,9.79,=,2.14,<,1,=,1.31,<,1,=,1.19,<,0.1,<,0.01,=,162,=,139,=,0,=,0,,NA,<,1,=,286,=,6.8,=,24,=,25,Presente,Presente,60
2,PARAIBA DO SUL,LORENA,TA00198P,Taubaté,2319239,5/10/2023,=,4.44,<,0.02,=,0.43,=,46.2,<,0.5,=,54.8,<,0.01,=,6213,=,0.22,<,0.05,=,0.51,<,0.2,=,16.5,<,0.2,=,85.2,=,18.4,=,65.6,=,1.22,=,246,=,13.2,<,0.1,=,0.89,=,0.66,=,1028,<,0.1,<,0.2,=,57980,<,0.3,=,0.02,<,0.2,=,6.05,=,1.89,<,1,=,1.22,<,0.5,=,2.67,<,0.1,<,0.01,=,146,=,145,=,0,=,0,,NA,<,1,=,330,=,8.2,=,22,=,27,Ausente,Ausente,14
2,PARAIBA DO SUL,MONTEIRO LOBATO,PC00260P,Pré-Cambriano/Cristalino,2308247,24/4/2023,<,2,<,0.02,<,0.2,=,16.8,<,0.5,=,2.62,<,0.01,=,18100,<,0.05,=,0.16,<,0.2,<,0.2,=,67.8,<,0.2,=,222,=,2420,<,10,=,2.03,=,5480,=,169,<,0.1,=,0.74,=,0.47,=,2340,<,0.1,<,0.2,=,18400,<,0.3,=,0.03,<,0.2,=,7.67,=,4.22,<,1,=,5.66,<,0.5,<,0.5,<,0.1,<,0.01,=,96,=,97.6,=,0,=,0,,NA,<,1,=,217,=,6.9,=,22,=,25,Ausente,Ausente,1
2,PARAIBA DO SUL,MONTEIRO LOBATO,PC00260P,Pré-Cambriano/Cristalino,2320030,9/10/2023,<,2,<,0.02,<,0.2,=,18.9,<,0.5,<,2,<,0.01,=,16760,=,0.1,=,0.11,=,0.2,<,0.2,=,63.4,<,0.2,=,216,=,2536,=,28.7,=,1.99,=,5239,=,134,<,0.1,=,0.9,=,0.24,=,2217,<,0.1,<,0.2,=,18420,<,0.3,=,0.02,<,0.2,=,9.94,=,2.18,<,1,=,3.08,<,0.5,<,0.5,=,0.17,=,0.01,=,96,=,97.4,=,0,=,0,,NA,<,1,=,151,=,6.8,=,23,=,25,Presente,Ausente,1
2,PARAIBA DO SUL,NATIVIDADE DA SERRA,PC00368P,Pré-Cambriano/Cristalino,2308251,24/4/2023,<,2,<,0.02,<,0.2,=,21.1,<,0.5,=,7.06,<,0.01,=,12300,=,0.16,<,0.05,=,4.02,=,0.26,=,40.5,<,0.2,=,74,=,15.8,=,24.4,=,20.9,=,2370,=,0.49,<,0.1,=,2.94,=,0.41,=,3010,<,0.1,<,0.2,=,9910,<,0.3,=,0.34,=,0.31,=,6.02,=,3.61,<,1,=,2.4,<,0.5,<,0.5,=,0.37,<,0.01,<,50,=,55.4,=,0,=,0,,NA,<,1,=,133,=,6.5,=,22,=,23,Ausente,Ausente,34
2,PARAIBA DO SUL,NATIVIDADE DA SERRA,PC00368P,Pré-Cambriano/Cristalino,2320034,9/10/2023,<,2,<,0.02,<,0.2,=,20,<,0.5,=,6.21,<,0.01,=,12560,=,0.23,<,0.05,=,6.9,=,0.24,=,41.5,<,0.2,=,73.1,=,12.2,=,27.2,=,22.3,=,2461,=,0.34,<,0.1,=,3.58,=,0.38,=,2856,<,0.1,<,0.2,=,10280,<,0.3,=,0.4,=,0.33,=,5.87,=,3.39,<,1,=,2.67,<,0.5,<,0.5,=,0.3,=,0.01,<,50,=,55.5,=,0,=,0,,NA,<,1,=,156,=,7.1,=,25,=,26,Ausente,Ausente,1
